province,month,type,p_esta,m_esta
กรุงเทพมหานคร,มกราคม,S,2368,4106.358938
กรุงเทพมหานคร,มกราคม,M,3,310.0
กรุงเทพมหานคร,มกราคม,L,2,9050.0
กรุงเทพมหานคร,กุมภาพันธ์,S,2210,4164.23735
กรุงเทพมหานคร,กุมภาพันธ์,M,6,810.2902
กรุงเทพมหานคร,กุมภาพันธ์,L,1,1000.0
กรุงเทพมหานคร,มีนาคม,S,2194,8622.411555
กรุงเทพมหานคร,มีนาคม,M,7,628.152
กรุงเทพมหานคร,มีนาคม,L,1,800.0
กรุงเทพมหานคร,เมษายน,S,1812,3508.4103
กรุงเทพมหานคร,เมษายน,M,11,1856.0
กรุงเทพมหานคร,เมษายน,L,2,8495.0316
กรุงเทพมหานคร,พฤษภาคม,S,0,0.0
กรุงเทพมหานคร,พฤษภาคม,M,0,0.0
กรุงเทพมหานคร,พฤษภาคม,L,0,0.0
กรุงเทพมหานคร,มิถุนายน,S,0,0.0
กรุงเทพมหานคร,มิถุนายน,M,0,0.0
กรุงเทพมหานคร,มิถุนายน,L,0,0.0
กรุงเทพมหานคร,กรกฎาคม,S,0,0.0
กรุงเทพมหานคร,กรกฎาคม,M,0,0.0
กรุงเทพมหานคร,กรกฎาคม,L,0,0.0
กรุงเทพมหานคร,สิงหาคม,S,0,0.0
กรุงเทพมหานคร,สิงหาคม,M,0,0.0
กรุงเทพมหานคร,สิงหาคม,L,0,0.0
กรุงเทพมหานคร,กันยายน,S,0,0.0
กรุงเทพมหานคร,กันยายน,M,0,0.0
กรุงเทพมหานคร,กันยายน,L,0,0.0
กรุงเทพมหานคร,ตุลาคม,S,0,0.0
กรุงเทพมหานคร,ตุลาคม,M,0,0.0
กรุงเทพมหานคร,ตุลาคม,L,0,0.0
กรุงเทพมหานคร,พฤศจิกายน,S,0,0.0
กรุงเทพมหานคร,พฤศจิกายน,M,0,0.0
กรุงเทพมหานคร,พฤศจิกายน,L,0,0.0
กรุงเทพมหานคร,ธันวาคม,S,0,0.0
กรุงเทพมหานคร,ธันวาคม,M,0,0.0
กรุงเทพมหานคร,ธันวาคม,L,0,0.0
ชัยนาท,มกราคม,S,17,21.8
ชัยนาท,มกราคม,M,0,0.0
ชัยนาท,มกราคม,L,0,0.0
ชัยนาท,กุมภาพันธ์,S,14,12.0
ชัยนาท,กุมภาพันธ์,M,0,0.0
ชัยนาท,กุมภาพันธ์,L,0,0.0
ชัยนาท,มีนาคม,S,12,19.8
ชัยนาท,มีนาคม,M,0,0.0
ชัยนาท,มีนาคม,L,0,0.0
ชัยนาท,เมษายน,S,6,12.0
ชัยนาท,เมษายน,M,0,0.0
ชัยนาท,เมษายน,L,0,0.0
ชัยนาท,พฤษภาคม,S,0,0.0
ชัยนาท,พฤษภาคม,M,0,0.0
ชัยนาท,พฤษภาคม,L,0,0.0
ชัยนาท,มิถุนายน,S,0,0.0
ชัยนาท,มิถุนายน,M,0,0.0
ชัยนาท,มิถุนายน,L,0,0.0
ชัยนาท,กรกฎาคม,S,0,0.0
ชัยนาท,กรกฎาคม,M,0,0.0
ชัยนาท,กรกฎาคม,L,0,0.0
ชัยนาท,สิงหาคม,S,0,0.0
ชัยนาท,สิงหาคม,M,0,0.0
ชัยนาท,สิงหาคม,L,0,0.0
ชัยนาท,กันยายน,S,0,0.0
ชัยนาท,กันยายน,M,0,0.0
ชัยนาท,กันยายน,L,0,0.0
ชัยนาท,ตุลาคม,S,0,0.0
ชัยนาท,ตุลาคม,M,0,0.0
ชัยนาท,ตุลาคม,L,0,0.0
ชัยนาท,พฤศจิกายน,S,0,0.0
ชัยนาท,พฤศจิกายน,M,0,0.0
ชัยนาท,พฤศจิกายน,L,0,0.0
ชัยนาท,ธันวาคม,S,0,0.0
ชัยนาท,ธันวาคม,M,0,0.0
ชัยนาท,ธันวาคม,L,0,0.0
นครปฐม,มกราคม,S,138,175.888001
นครปฐม,มกราคม,M,0,0.0
นครปฐม,มกราคม,L,0,0.0
นครปฐม,กุมภาพันธ์,S,117,241.2172
นครปฐม,กุมภาพันธ์,M,0,0.0
นครปฐม,กุมภาพันธ์,L,0,0.0
นครปฐม,มีนาคม,S,120,162.705
นครปฐม,มีนาคม,M,0,0.0
นครปฐม,มีนาคม,L,0,0.0
นครปฐม,เมษายน,S,117,189.521
นครปฐม,เมษายน,M,0,0.0
นครปฐม,เมษายน,L,0,0.0
นครปฐม,พฤษภาคม,S,0,0.0
นครปฐม,พฤษภาคม,M,0,0.0
นครปฐม,พฤษภาคม,L,0,0.0
นครปฐม,มิถุนายน,S,0,0.0
นครปฐม,มิถุนายน,M,0,0.0
นครปฐม,มิถุนายน,L,0,0.0
นครปฐม,กรกฎาคม,S,0,0.0
นครปฐม,กรกฎาคม,M,0,0.0
นครปฐม,กรกฎาคม,L,0,0.0
นครปฐม,สิงหาคม,S,0,0.0
นครปฐม,สิงหาคม,M,0,0.0
นครปฐม,สิงหาคม,L,0,0.0
นครปฐม,กันยายน,S,0,0.0
นครปฐม,กันยายน,M,0,0.0
นครปฐม,กันยายน,L,0,0.0
นครปฐม,ตุลาคม,S,0,0.0
นครปฐม,ตุลาคม,M,0,0.0
นครปฐม,ตุลาคม,L,0,0.0
นครปฐม,พฤศจิกายน,S,0,0.0
นครปฐม,พฤศจิกายน,M,0,0.0
นครปฐม,พฤศจิกายน,L,0,0.0
นครปฐม,ธันวาคม,S,0,0.0
นครปฐม,ธันวาคม,M,0,0.0
นครปฐม,ธันวาคม,L,0,0.0
นนทบุรี,มกราคม,S,469,622.982
นนทบุรี,มกราคม,M,0,0.0
นนทบุรี,มกราคม,L,0,0.0
นนทบุรี,กุมภาพันธ์,S,471,633.370642
นนทบุรี,กุมภาพันธ์,M,0,0.0
นนทบุรี,กุมภาพันธ์,L,0,0.0
นนทบุรี,มีนาคม,S,437,588.03
นนทบุรี,มีนาคม,M,0,0.0
นนทบุรี,มีนาคม,L,0,0.0
นนทบุรี,เมษายน,S,379,711.215
นนทบุรี,เมษายน,M,0,0.0
นนทบุรี,เมษายน,L,1,370.0
นนทบุรี,พฤษภาคม,S,0,0.0
นนทบุรี,พฤษภาคม,M,0,0.0
นนทบุรี,พฤษภาคม,L,0,0.0
นนทบุรี,มิถุนายน,S,0,0.0
นนทบุรี,มิถุนายน,M,0,0.0
นนทบุรี,มิถุนายน,L,0,0.0
นนทบุรี,กรกฎาคม,S,0,0.0
นนทบุรี,กรกฎาคม,M,0,0.0
นนทบุรี,กรกฎาคม,L,0,0.0
นนทบุรี,สิงหาคม,S,0,0.0
นนทบุรี,สิงหาคม,M,0,0.0
นนทบุรี,สิงหาคม,L,0,0.0
นนทบุรี,กันยายน,S,0,0.0
นนทบุรี,กันยายน,M,0,0.0
นนทบุรี,กันยายน,L,0,0.0
นนทบุรี,ตุลาคม,S,0,0.0
นนทบุรี,ตุลาคม,M,0,0.0
นนทบุรี,ตุลาคม,L,0,0.0
นนทบุรี,พฤศจิกายน,S,0,0.0
นนทบุรี,พฤศจิกายน,M,0,0.0
นนทบุรี,พฤศจิกายน,L,0,0.0
นนทบุรี,ธันวาคม,S,0,0.0
นนทบุรี,ธันวาคม,M,0,0.0
นนทบุรี,ธันวาคม,L,0,0.0
ปทุมธานี,มกราคม,S,438,548.73
ปทุมธานี,มกราคม,M,1,150.85
ปทุมธานี,มกราคม,L,0,0.0
ปทุมธานี,กุมภาพันธ์,S,364,500.1618
ปทุมธานี,กุมภาพันธ์,M,0,0.0
ปทุมธานี,กุมภาพันธ์,L,0,0.0
ปทุมธานี,มีนาคม,S,370,475.381
ปทุมธานี,มีนาคม,M,0,0.0
ปทุมธานี,มีนาคม,L,0,0.0
ปทุมธานี,เมษายน,S,308,415.89
ปทุมธานี,เมษายน,M,0,0.0
ปทุมธานี,เมษายน,L,0,0.0
ปทุมธานี,พฤษภาคม,S,0,0.0
ปทุมธานี,พฤษภาคม,M,0,0.0
ปทุมธานี,พฤษภาคม,L,0,0.0
ปทุมธานี,มิถุนายน,S,0,0.0
ปทุมธานี,มิถุนายน,M,0,0.0
ปทุมธานี,มิถุนายน,L,0,0.0
ปทุมธานี,กรกฎาคม,S,0,0.0
ปทุมธานี,กรกฎาคม,M,0,0.0
ปทุมธานี,กรกฎาคม,L,0,0.0
ปทุมธานี,สิงหาคม,S,0,0.0
ปทุมธานี,สิงหาคม,M,0,0.0
ปทุมธานี,สิงหาคม,L,0,0.0
ปทุมธานี,กันยายน,S,0,0.0
ปทุมธานี,กันยายน,M,0,0.0
ปทุมธานี,กันยายน,L,0,0.0
ปทุมธานี,ตุลาคม,S,0,0.0
ปทุมธานี,ตุลาคม,M,0,0.0
ปทุมธานี,ตุลาคม,L,0,0.0
ปทุมธานี,พฤศจิกายน,S,0,0.0
ปทุมธานี,พฤศจิกายน,M,0,0.0
ปทุมธานี,พฤศจิกายน,L,0,0.0
ปทุมธานี,ธันวาคม,S,0,0.0
ปทุมธานี,ธันวาคม,M,0,0.0
ปทุมธานี,ธันวาคม,L,0,0.0
พระนครศรีอยุธยา,มกราคม,S,126,119.82
พระนครศรีอยุธยา,มกราคม,M,1,114.6
พระนครศรีอยุธยา,มกราคม,L,0,0.0
พระนครศรีอยุธยา,กุมภาพันธ์,S,81,126.55
พระนครศรีอยุธยา,กุมภาพันธ์,M,0,0.0
พระนครศรีอยุธยา,กุมภาพันธ์,L,0,0.0
พระนครศรีอยุธยา,มีนาคม,S,73,136.805
พระนครศรีอยุธยา,มีนาคม,M,0,0.0
พระนครศรีอยุธยา,มีนาคม,L,0,0.0
พระนครศรีอยุธยา,เมษายน,S,84,114.9
พระนครศรีอยุธยา,เมษายน,M,0,0.0
พระนครศรีอยุธยา,เมษายน,L,0,0.0
พระนครศรีอยุธยา,พฤษภาคม,S,0,0.0
พระนครศรีอยุธยา,พฤษภาคม,M,0,0.0
พระนครศรีอยุธยา,พฤษภาคม,L,0,0.0
พระนครศรีอยุธยา,มิถุนายน,S,0,0.0
พระนครศรีอยุธยา,มิถุนายน,M,0,0.0
พระนครศรีอยุธยา,มิถุนายน,L,0,0.0
พระนครศรีอยุธยา,กรกฎาคม,S,0,0.0
พระนครศรีอยุธยา,กรกฎาคม,M,0,0.0
พระนครศรีอยุธยา,กรกฎาคม,L,0,0.0
พระนครศรีอยุธยา,สิงหาคม,S,0,0.0
พระนครศรีอยุธยา,สิงหาคม,M,0,0.0
พระนครศรีอยุธยา,สิงหาคม,L,0,0.0
พระนครศรีอยุธยา,กันยายน,S,0,0.0
พระนครศรีอยุธยา,กันยายน,M,0,0.0
พระนครศรีอยุธยา,กันยายน,L,0,0.0
พระนครศรีอยุธยา,ตุลาคม,S,0,0.0
พระนครศรีอยุธยา,ตุลาคม,M,0,0.0
พระนครศรีอยุธยา,ตุลาคม,L,0,0.0
พระนครศรีอยุธยา,พฤศจิกายน,S,0,0.0
พระนครศรีอยุธยา,พฤศจิกายน,M,0,0.0
พระนครศรีอยุธยา,พฤศจิกายน,L,0,0.0
พระนครศรีอยุธยา,ธันวาคม,S,0,0.0
พระนครศรีอยุธยา,ธันวาคม,M,0,0.0
พระนครศรีอยุธยา,ธันวาคม,L,0,0.0
ลพบุรี,มกราคม,S,35,66.9
ลพบุรี,มกราคม,M,0,0.0
ลพบุรี,มกราคม,L,0,0.0
ลพบุรี,กุมภาพันธ์,S,21,26.8
ลพบุรี,กุมภาพันธ์,M,0,0.0
ลพบุรี,กุมภาพันธ์,L,0,0.0
ลพบุรี,มีนาคม,S,28,31.3
ลพบุรี,มีนาคม,M,0,0.0
ลพบุรี,มีนาคม,L,0,0.0
ลพบุรี,เมษายน,S,28,36.608
ลพบุรี,เมษายน,M,0,0.0
ลพบุรี,เมษายน,L,0,0.0
ลพบุรี,พฤษภาคม,S,0,0.0
ลพบุรี,พฤษภาคม,M,0,0.0
ลพบุรี,พฤษภาคม,L,0,0.0
ลพบุรี,มิถุนายน,S,0,0.0
ลพบุรี,มิถุนายน,M,0,0.0
ลพบุรี,มิถุนายน,L,0,0.0
ลพบุรี,กรกฎาคม,S,0,0.0
ลพบุรี,กรกฎาคม,M,0,0.0
ลพบุรี,กรกฎาคม,L,0,0.0
ลพบุรี,สิงหาคม,S,0,0.0
ลพบุรี,สิงหาคม,M,0,0.0
ลพบุรี,สิงหาคม,L,0,0.0
ลพบุรี,กันยายน,S,0,0.0
ลพบุรี,กันยายน,M,0,0.0
ลพบุรี,กันยายน,L,0,0.0
ลพบุรี,ตุลาคม,S,0,0.0
ลพบุรี,ตุลาคม,M,0,0.0
ลพบุรี,ตุลาคม,L,0,0.0
ลพบุรี,พฤศจิกายน,S,0,0.0
ลพบุรี,พฤศจิกายน,M,0,0.0
ลพบุรี,พฤศจิกายน,L,0,0.0
ลพบุรี,ธันวาคม,S,0,0.0
ลพบุรี,ธันวาคม,M,0,0.0
ลพบุรี,ธันวาคม,L,0,0.0
สมุทรปราการ,มกราคม,S,441,674.73
สมุทรปราการ,มกราคม,M,0,0.0
สมุทรปราการ,มกราคม,L,0,0.0
สมุทรปราการ,กุมภาพันธ์,S,379,616.685
สมุทรปราการ,กุมภาพันธ์,M,0,0.0
สมุทรปราการ,กุมภาพันธ์,L,0,0.0
สมุทรปราการ,มีนาคม,S,402,779.5
สมุทรปราการ,มีนาคม,M,0,0.0
สมุทรปราการ,มีนาคม,L,0,0.0
สมุทรปราการ,เมษายน,S,343,614.636
สมุทรปราการ,เมษายน,M,0,0.0
สมุทรปราการ,เมษายน,L,0,0.0
สมุทรปราการ,พฤษภาคม,S,0,0.0
สมุทรปราการ,พฤษภาคม,M,0,0.0
สมุทรปราการ,พฤษภาคม,L,0,0.0
สมุทรปราการ,มิถุนายน,S,0,0.0
สมุทรปราการ,มิถุนายน,M,0,0.0
สมุทรปราการ,มิถุนายน,L,0,0.0
สมุทรปราการ,กรกฎาคม,S,0,0.0
สมุทรปราการ,กรกฎาคม,M,0,0.0
สมุทรปราการ,กรกฎาคม,L,0,0.0
สมุทรปราการ,สิงหาคม,S,0,0.0
สมุทรปราการ,สิงหาคม,M,0,0.0
สมุทรปราการ,สิงหาคม,L,0,0.0
สมุทรปราการ,กันยายน,S,0,0.0
สมุทรปราการ,กันยายน,M,0,0.0
สมุทรปราการ,กันยายน,L,0,0.0
สมุทรปราการ,ตุลาคม,S,0,0.0
สมุทรปราการ,ตุลาคม,M,0,0.0
สมุทรปราการ,ตุลาคม,L,0,0.0
สมุทรปราการ,พฤศจิกายน,S,0,0.0
สมุทรปราการ,พฤศจิกายน,M,0,0.0
สมุทรปราการ,พฤศจิกายน,L,0,0.0
สมุทรปราการ,ธันวาคม,S,0,0.0
สมุทรปราการ,ธันวาคม,M,0,0.0
สมุทรปราการ,ธันวาคม,L,0,0.0
สมุทรสาคร,มกราคม,S,128,235.91
สมุทรสาคร,มกราคม,M,0,0.0
สมุทรสาคร,มกราคม,L,0,0.0
สมุทรสาคร,กุมภาพันธ์,S,124,189.8
สมุทรสาคร,กุมภาพันธ์,M,0,0.0
สมุทรสาคร,กุมภาพันธ์,L,0,0.0
สมุทรสาคร,มีนาคม,S,125,232.2
สมุทรสาคร,มีนาคม,M,0,0.0
สมุทรสาคร,มีนาคม,L,0,0.0
สมุทรสาคร,เมษายน,S,113,184.6
สมุทรสาคร,เมษายน,M,0,0.0
สมุทรสาคร,เมษายน,L,0,0.0
สมุทรสาคร,พฤษภาคม,S,0,0.0
สมุทรสาคร,พฤษภาคม,M,0,0.0
สมุทรสาคร,พฤษภาคม,L,0,0.0
สมุทรสาคร,มิถุนายน,S,0,0.0
สมุทรสาคร,มิถุนายน,M,0,0.0
สมุทรสาคร,มิถุนายน,L,0,0.0
สมุทรสาคร,กรกฎาคม,S,0,0.0
สมุทรสาคร,กรกฎาคม,M,0,0.0
สมุทรสาคร,กรกฎาคม,L,0,0.0
สมุทรสาคร,สิงหาคม,S,0,0.0
สมุทรสาคร,สิงหาคม,M,0,0.0
สมุทรสาคร,สิงหาคม,L,0,0.0
สมุทรสาคร,กันยายน,S,0,0.0
สมุทรสาคร,กันยายน,M,0,0.0
สมุทรสาคร,กันยายน,L,0,0.0
สมุทรสาคร,ตุลาคม,S,0,0.0
สมุทรสาคร,ตุลาคม,M,0,0.0
สมุทรสาคร,ตุลาคม,L,0,0.0
สมุทรสาคร,พฤศจิกายน,S,0,0.0
สมุทรสาคร,พฤศจิกายน,M,0,0.0
สมุทรสาคร,พฤศจิกายน,L,0,0.0
สมุทรสาคร,ธันวาคม,S,0,0.0
สมุทรสาคร,ธันวาคม,M,0,0.0
สมุทรสาคร,ธันวาคม,L,0,0.0
สระบุรี,มกราคม,S,60,99.2
สระบุรี,มกราคม,M,0,0.0
สระบุรี,มกราคม,L,0,0.0
สระบุรี,กุมภาพันธ์,S,47,61.06
สระบุรี,กุมภาพันธ์,M,0,0.0
สระบุรี,กุมภาพันธ์,L,0,0.0
สระบุรี,มีนาคม,S,63,100.6
สระบุรี,มีนาคม,M,0,0.0
สระบุรี,มีนาคม,L,0,0.0
สระบุรี,เมษายน,S,46,97.409999
สระบุรี,เมษายน,M,0,0.0
สระบุรี,เมษายน,L,0,0.0
สระบุรี,พฤษภาคม,S,0,0.0
สระบุรี,พฤษภาคม,M,0,0.0
สระบุรี,พฤษภาคม,L,0,0.0
สระบุรี,มิถุนายน,S,0,0.0
สระบุรี,มิถุนายน,M,0,0.0
สระบุรี,มิถุนายน,L,0,0.0
สระบุรี,กรกฎาคม,S,0,0.0
สระบุรี,กรกฎาคม,M,0,0.0
สระบุรี,กรกฎาคม,L,0,0.0
สระบุรี,สิงหาคม,S,0,0.0
สระบุรี,สิงหาคม,M,0,0.0
สระบุรี,สิงหาคม,L,0,0.0
สระบุรี,กันยายน,S,0,0.0
สระบุรี,กันยายน,M,0,0.0
สระบุรี,กันยายน,L,0,0.0
สระบุรี,ตุลาคม,S,0,0.0
สระบุรี,ตุลาคม,M,0,0.0
สระบุรี,ตุลาคม,L,0,0.0
สระบุรี,พฤศจิกายน,S,0,0.0
สระบุรี,พฤศจิกายน,M,0,0.0
สระบุรี,พฤศจิกายน,L,0,0.0
สระบุรี,ธันวาคม,S,0,0.0
สระบุรี,ธันวาคม,M,0,0.0
สระบุรี,ธันวาคม,L,0,0.0
สิงห์บุรี,มกราคม,S,13,59.05
สิงห์บุรี,มกราคม,M,0,0.0
สิงห์บุรี,มกราคม,L,0,0.0
สิงห์บุรี,กุมภาพันธ์,S,7,8.0
สิงห์บุรี,กุมภาพันธ์,M,0,0.0
สิงห์บุรี,กุมภาพันธ์,L,0,0.0
สิงห์บุรี,มีนาคม,S,8,12.0
สิงห์บุรี,มีนาคม,M,0,0.0
สิงห์บุรี,มีนาคม,L,0,0.0
สิงห์บุรี,เมษายน,S,9,12.3
สิงห์บุรี,เมษายน,M,0,0.0
สิงห์บุรี,เมษายน,L,0,0.0
สิงห์บุรี,พฤษภาคม,S,0,0.0
สิงห์บุรี,พฤษภาคม,M,0,0.0
สิงห์บุรี,พฤษภาคม,L,0,0.0
สิงห์บุรี,มิถุนายน,S,0,0.0
สิงห์บุรี,มิถุนายน,M,0,0.0
สิงห์บุรี,มิถุนายน,L,0,0.0
สิงห์บุรี,กรกฎาคม,S,0,0.0
สิงห์บุรี,กรกฎาคม,M,0,0.0
สิงห์บุรี,กรกฎาคม,L,0,0.0
สิงห์บุรี,สิงหาคม,S,0,0.0
สิงห์บุรี,สิงหาคม,M,0,0.0
สิงห์บุรี,สิงหาคม,L,0,0.0
สิงห์บุรี,กันยายน,S,0,0.0
สิงห์บุรี,กันยายน,M,0,0.0
สิงห์บุรี,กันยายน,L,0,0.0
สิงห์บุรี,ตุลาคม,S,0,0.0
สิงห์บุรี,ตุลาคม,M,0,0.0
สิงห์บุรี,ตุลาคม,L,0,0.0
สิงห์บุรี,พฤศจิกายน,S,0,0.0
สิงห์บุรี,พฤศจิกายน,M,0,0.0
สิงห์บุรี,พฤศจิกายน,L,0,0.0
สิงห์บุรี,ธันวาคม,S,0,0.0
สิงห์บุรี,ธันวาคม,M,0,0.0
สิงห์บุรี,ธันวาคม,L,0,0.0
อ่างทอง,มกราคม,S,12,17.7
อ่างทอง,มกราคม,M,0,0.0
อ่างทอง,มกราคม,L,0,0.0
อ่างทอง,กุมภาพันธ์,S,14,25.55
อ่างทอง,กุมภาพันธ์,M,0,0.0
อ่างทอง,กุมภาพันธ์,L,0,0.0
อ่างทอง,มีนาคม,S,11,12.6
อ่างทอง,มีนาคม,M,0,0.0
อ่างทอง,มีนาคม,L,0,0.0
อ่างทอง,เมษายน,S,13,48.07
อ่างทอง,เมษายน,M,0,0.0
อ่างทอง,เมษายน,L,0,0.0
อ่างทอง,พฤษภาคม,S,0,0.0
อ่างทอง,พฤษภาคม,M,0,0.0
อ่างทอง,พฤษภาคม,L,0,0.0
อ่างทอง,มิถุนายน,S,0,0.0
อ่างทอง,มิถุนายน,M,0,0.0
อ่างทอง,มิถุนายน,L,0,0.0
อ่างทอง,กรกฎาคม,S,0,0.0
อ่างทอง,กรกฎาคม,M,0,0.0
อ่างทอง,กรกฎาคม,L,0,0.0
อ่างทอง,สิงหาคม,S,0,0.0
อ่างทอง,สิงหาคม,M,0,0.0
อ่างทอง,สิงหาคม,L,0,0.0
อ่างทอง,กันยายน,S,0,0.0
อ่างทอง,กันยายน,M,0,0.0
อ่างทอง,กันยายน,L,0,0.0
อ่างทอง,ตุลาคม,S,0,0.0
อ่างทอง,ตุลาคม,M,0,0.0
อ่างทอง,ตุลาคม,L,0,0.0
อ่างทอง,พฤศจิกายน,S,0,0.0
อ่างทอง,พฤศจิกายน,M,0,0.0
อ่างทอง,พฤศจิกายน,L,0,0.0
อ่างทอง,ธันวาคม,S,0,0.0
อ่างทอง,ธันวาคม,M,0,0.0
อ่างทอง,ธันวาคม,L,0,0.0
กาญจนบุรี,มกราคม,S,56,77.135
กาญจนบุรี,มกราคม,M,0,0.0
กาญจนบุรี,มกราคม,L,0,0.0
กาญจนบุรี,กุมภาพันธ์,S,53,77.8
กาญจนบุรี,กุมภาพันธ์,M,0,0.0
กาญจนบุรี,กุมภาพันธ์,L,0,0.0
กาญจนบุรี,มีนาคม,S,52,64.7
กาญจนบุรี,มีนาคม,M,0,0.0
กาญจนบุรี,มีนาคม,L,0,0.0
กาญจนบุรี,เมษายน,S,22,23.91
กาญจนบุรี,เมษายน,M,0,0.0
